Jahr,Bezirk,Geschlecht,Anzahl_Geburten
2013,1030,2,389
2013,1040,1,171
2013,1040,2,138
2013,1050,1,305
2013,1050,2,300
2013,1060,1,155
2013,1060,2,143
2013,1070,1,163
2013,1070,2,133
2013,1080,1,111
2013,1080,2,105
2013,1090,1,190
2013,1090,2,210
2013,1100,1,1154
2013,1100,2,997
2013,1110,1,546
2013,1110,2,526
2013,1120,1,548
2013,1120,2,482
2013,1130,1,264
2013,1130,2,209
2013,1140,1,474
2013,1140,2,466
2013,1150,1,478
2013,1150,2,431
2013,1160,1,608
2013,1160,2,560
2013,1170,1,321
2013,1170,2,292
2013,1180,1,269
2013,1180,2,247
2013,1190,1,327
2013,1190,2,294
2013,1200,1,542
2013,1200,2,458
2013,1210,1,777
2013,1210,2,665
2013,1220,1,842
2013,1220,2,739
2013,1230,1,437
2013,1230,2,409
2014,1010,1,69
2014,1010,2,74
2014,1020,1,650
2014,1020,2,594
2014,1030,1,457
2014,1030,2,488
2014,1040,1,156
2014,1040,2,139
2014,1050,1,267
2014,1050,2,278
2014,1060,1,151
2014,1060,2,158
2014,1070,1,161
2014,1070,2,143
2014,1080,1,117
2014,1080,2,103
2014,1090,1,199
2014,1090,2,221
2014,1100,1,1197
2014,1100,2,1123
2014,1110,1,599
2014,1110,2,510
2014,1120,1,557
2014,1120,2,499
2014,1130,1,248
2014,1130,2,213
2014,1140,1,470
2014,1140,2,436
2014,1150,1,423
2014,1150,2,431
2014,1160,1,623
2014,1160,2,557
2014,1170,1,342
2014,1170,2,271
2014,1180,1,305
2014,1180,2,256
2014,1190,1,310
2014,1190,2,311
2014,1200,1,562
2014,1200,2,503
2014,1210,1,766
2014,1210,2,693
2014,1220,1,867
2014,1220,2,836
2014,1230,1,497
2014,1230,2,430
2015,1010,1,68
2015,1010,2,58
2015,1020,1,669
2015,1020,2,615
2015,1030,1,480
2015,1030,2,437
2015,1040,1,153
2015,1040,2,143
2015,1050,1,331
2015,1050,2,334
2015,1060,1,129
2015,1060,2,143
2015,1070,1,194
2015,1070,2,174
2015,1080,1,113
2015,1080,2,108
2015,1090,1,214
2015,1090,2,211
2015,1100,1,1174
2015,1100,2,1103
2015,1110,1,569
2015,1110,2,543
2015,1120,1,576
2015,1120,2,560
2015,1130,1,255
2015,1130,2,218
2015,1140,1,547
2015,1140,2,460
2015,1150,1,496
2015,1150,2,458
2015,1160,1,609
2015,1160,2,583
2015,1170,1,305
2015,1170,2,343
2015,1180,1,264
2015,1180,2,259
2015,1190,1,373
2015,1190,2,337
2015,1200,1,533
2015,1200,2,529
2015,1210,1,786
2015,1210,2,753
2015,1220,1,984
2015,1220,2,891
2015,1230,1,453
2015,1230,2,396
2016,1010,1,54
2016,1010,2,64
2016,1020,1,684
2016,1020,2,608
2016,1030,1,494
2016,1030,2,476
2016,1040,1,148
2016,1040,2,173
2016,1050,1,306
2016,1050,2,325
2016,1060,1,165
2016,1060,2,153
2016,1070,1,182
2016,1070,2,141
2016,1080,1,139
2016,1080,2,100
2016,1090,1,222
2016,1090,2,215
2016,1100,1,1323
2016,1100,2,1229
2016,1110,1,640
2016,1110,2,583
2016,1120,1,582
2016,1120,2,566
2016,1130,1,261
2016,1130,2,245
2016,1140,1,540
2016,1140,2,436
2016,1150,1,508
2016,1150,2,481
2016,1160,1,636
2016,1160,2,629
2016,1170,1,320
2016,1170,2,320
2016,1180,1,291
2016,1180,2,263
2016,1190,1,356
2016,1190,2,344
2016,1200,1,556
2016,1200,2,531
2016,1210,1,814
2016,1210,2,855
2016,1220,1,919
2016,1220,2,948
2016,1230,1,498
2016,1230,2,481
2017,1010,1,67
2017,1010,2,60
2017,1020,1,622
2017,1020,2,619
2017,1030,1,480
2017,1030,2,441
2017,1040,1,147
2017,1040,2,151
2017,1050,1,304
2017,1050,2,309
2017,1060,1,144
2017,1060,2,139
2017,1070,1,159
2017,1070,2,150
2017,1080,1,115
2017,1080,2,109
2017,1090,1,209
2017,1090,2,172
2017,1100,1,1261
2017,1100,2,1171
2017,1110,1,665
2017,1110,2,602
2017,1120,1,559
2017,1120,2,536
2017,1130,1,260
2017,1130,2,240
2017,1140,1,509
2017,1140,2,479
2017,1150,1,488
2017,1150,2,467
2017,1160,1,666
2017,1160,2,590
2017,1170,1,372
2017,1170,2,305
2017,1180,1,290
2017,1180,2,278
2017,1190,1,333
2017,1190,2,333
2017,1200,1,567
2017,1200,2,499
2017,1210,1,936
2017,1210,2,885
2017,1220,1,953
2017,1220,2,923
2017,1230,1,487
2017,1230,2,525
2018,1010,1,58
2018,1010,2,48
2018,1020,1,578
2018,1020,2,550
2018,1030,1,486
2018,1030,2,487
2018,1040,1,132
2018,1040,2,147
2018,1050,1,289
2018,1050,2,266
2018,1060,1,151
2018,1060,2,153
